Algorytm;Rozmiar;Warunek;Sredni_Czas_ms
Introsort;10000;0% posortowane;0.7570
MergeSort;10000;0% posortowane;1.2829
QuickSort;10000;0% posortowane;0.8172
Introsort;10000;Odwrócone (z 0% posortowanych);0.6296
MergeSort;10000;Odwrócone (z 0% posortowanych);1.3401
QuickSort;10000;Odwrócone (z 0% posortowanych);0.8135
Introsort;10000;25% posortowane;0.5997
MergeSort;10000;25% posortowane;1.1403
QuickSort;10000;25% posortowane;0.7737
Introsort;10000;Odwrócone (z 25% posortowanych);0.5834
MergeSort;10000;Odwrócone (z 25% posortowanych);1.1545
QuickSort;10000;Odwrócone (z 25% posortowanych);0.7498
Introsort;10000;50% posortowane;0.5482
MergeSort;10000;50% posortowane;0.9588
QuickSort;10000;50% posortowane;0.6730
Introsort;10000;Odwrócone (z 50% posortowanych);0.5151
MergeSort;10000;Odwrócone (z 50% posortowanych);1.0054
QuickSort;10000;Odwrócone (z 50% posortowanych);0.6492
Introsort;10000;75% posortowane;0.5545
MergeSort;10000;75% posortowane;0.7531
QuickSort;10000;75% posortowane;0.5183
Introsort;10000;Odwrócone (z 75% posortowanych);0.4382
MergeSort;10000;Odwrócone (z 75% posortowanych);0.8335
QuickSort;10000;Odwrócone (z 75% posortowanych);0.5103
Introsort;10000;95% posortowane;0.7586
MergeSort;10000;95% posortowane;0.5993
QuickSort;10000;95% posortowane;0.3273
Introsort;10000;Odwrócone (z 95% posortowanych);0.4361
MergeSort;10000;Odwrócone (z 95% posortowanych);0.6596
QuickSort;10000;Odwrócone (z 95% posortowanych);0.3264
Introsort;10000;99% posortowane;0.8135
MergeSort;10000;99% posortowane;0.6111
QuickSort;10000;99% posortowane;0.2503
Introsort;10000;Odwrócone (z 99% posortowanych);0.6035
MergeSort;10000;Odwrócone (z 99% posortowanych);0.6327
QuickSort;10000;Odwrócone (z 99% posortowanych);0.2442
Introsort;10000;100% posortowane;1.0602
MergeSort;10000;100% posortowane;0.5576
QuickSort;10000;100% posortowane;0.1744
Introsort;10000;Odwrócone (z 100% posortowanych);1.0182
MergeSort;10000;Odwrócone (z 100% posortowanych);0.6341
QuickSort;10000;Odwrócone (z 100% posortowanych);0.1928
Introsort;50000;0% posortowane;3.7032
MergeSort;50000;0% posortowane;7.4949
QuickSort;50000;0% posortowane;4.6360
Introsort;50000;Odwrócone (z 0% posortowanych);3.7286
MergeSort;50000;Odwrócone (z 0% posortowanych);7.4534
QuickSort;50000;Odwrócone (z 0% posortowanych);4.6287
Introsort;50000;25% posortowane;3.5234
MergeSort;50000;25% posortowane;6.1421
QuickSort;50000;25% posortowane;3.2174
Introsort;50000;Odwrócone (z 25% posortowanych);2.1621
MergeSort;50000;Odwrócone (z 25% posortowanych);3.9587
QuickSort;50000;Odwrócone (z 25% posortowanych);2.5179
Introsort;50000;50% posortowane;1.9054
MergeSort;50000;50% posortowane;3.4026
QuickSort;50000;50% posortowane;2.2389
Introsort;50000;Odwrócone (z 50% posortowanych);1.7857
MergeSort;50000;Odwrócone (z 50% posortowanych);3.4029
QuickSort;50000;Odwrócone (z 50% posortowanych);2.1757
Introsort;50000;75% posortowane;1.9543
MergeSort;50000;75% posortowane;2.5810
QuickSort;50000;75% posortowane;1.6951
